,Date,Open,High,Low,Close,Adj Close,Volume
44,2017-03-15,185.5,186.5,184.5,185.0,168.103912,189000.0
45,2017-03-16,186.0,188.0,186.0,187.0,169.921249,314000.0
46,2017-03-17,188.0,188.5,184.0,184.0,167.195236,630000.0
47,2017-03-20,185.5,187.5,185.0,187.0,169.921249,282000.0
48,2017-03-21,187.5,187.5,186.0,186.0,169.012589,433000.0
49,2017-03-22,186.5,187.5,185.0,185.5,168.558228,340000.0
50,2017-03-23,187.5,188.0,185.0,186.0,169.012589,358000.0
51,2017-03-24,186.0,188.0,185.0,185.0,168.103912,304000.0
52,2017-03-27,185.0,187.0,185.0,186.0,169.012589,365000.0
53,2017-03-28,187.5,188.0,186.0,187.0,169.921249,448000.0
54,2017-03-29,188.0,188.0,186.0,187.0,169.921249,263000.0
55,2017-03-30,186.0,186.0,178.5,179.0,162.651886,2190000.0
56,2017-03-31,180.0,180.5,179.5,179.5,163.106216,681000.0
57,2017-04-05,179.5,180.5,179.5,180.5,164.014908,722000.0
58,2017-04-06,181.0,184.5,181.0,181.5,164.923584,611000.0
59,2017-04-07,181.5,182.5,179.0,179.5,163.106216,292000.0
60,2017-04-10,181.0,181.5,180.0,181.0,164.469223,165000.0
61,2017-04-11,181.0,181.0,178.5,180.5,164.014908,266000.0
62,2017-04-12,180.0,180.0,178.5,179.0,162.651886,240000.0
63,2017-04-13,180.0,181.0,174.0,176.5,160.380219,410000.0
64,2017-04-14,176.0,178.0,174.5,175.0,159.017212,232000.0
65,2017-04-17,175.0,176.0,174.0,175.0,159.017212,234000.0
66,2017-04-18,175.5,176.5,173.5,175.0,159.017212,574000.0
67,2017-04-19,174.0,175.0,173.0,173.0,157.199875,648000.0
68,2017-04-20,174.5,175.0,172.0,172.0,156.291214,485000.0
69,2017-04-21,172.5,173.5,172.5,173.0,157.199875,345000.0
70,2017-04-24,176.0,176.0,173.0,174.5,158.562881,234000.0
71,2017-04-25,175.5,177.0,174.5,177.0,160.834549,459000.0
72,2017-04-26,178.0,181.5,177.0,181.0,164.469223,1043000.0
73,2017-04-27,181.0,182.0,179.5,182.0,165.377914,342000.0
74,2017-04-28,182.0,183.0,180.5,182.5,165.832214,746000.0
75,2017-05-02,183.0,183.0,179.5,182.5,165.832214,632000.0
76,2017-05-03,182.0,183.0,182.0,183.0,166.286575,322000.0
77,2017-05-04,181.5,183.5,181.5,183.5,166.740906,160000.0
78,2017-05-05,183.5,183.5,180.0,180.0,163.560562,84000.0
79,2017-05-08,180.5,180.5,176.0,177.5,161.288895,351000.0
80,2017-05-09,177.5,182.0,177.5,182.0,165.377914,309000.0
81,2017-05-10,184.0,184.0,177.0,178.5,162.197571,334000.0
82,2017-05-11,178.5,183.5,176.5,183.5,166.740906,628000.0
